id,persian,english,french,level,category,recommended_start,enabled,tags
25,می‌دانم.,"I know.","Je sais.",A0,communication,day_1,true,"daily,communication"
26,"لطفاً تکرار کن.","Please repeat.","Répète, s’il te plaît.",A0+,classroom,week_1,true,"classroom,communication"
27,می‌شود تکرار کنی؟,"Can you repeat?","Tu peux répéter ?",A0+,classroom,week_1,true,"classroom,communication"
28,"آرام‌تر، لطفاً.","Slower, please.","Plus lentement, s’il te plaît.",A0+,classroom,week_1,true,"classroom,communication"
29,این یعنی چی؟,"What does this mean?","Ça veut dire quoi ?",A0+,classroom,week_1,true,"classroom,communication"
30,"کمکم کن، لطفاً.","Help me, please.","Aide-moi, s’il te plaît.",A0+,communication,week_1,true,"daily,communication"
31,من آب می‌خواهم.,"I want water.","Je veux de l’eau.",A0,food_drink,day_1,true,"daily,food"
32,من قهوه می‌خواهم.,"I want a coffee.","Je veux un café.",A0,food_drink,day_1,true,"daily,food"
33,"یک قهوه، لطفاً.","A coffee, please.","Un café, s’il vous plaît.",A0,food_drink,day_1,true,"daily,food"
34,من غذا می‌خواهم.,"I want to eat.","Je veux manger.",A0+,food_drink,week_1,true,"daily,food"
35,گرسنه‌ام.,"I’m hungry.","J’ai faim.",A0,food_drink,day_1,true,"daily,state,food"
36,تشنه‌ام.,"I’m thirsty.","J’ai soif.",A0,food_drink,day_1,true,"daily,state,food"
37,خوابم میاد.,"I’m sleepy.","J’ai sommeil.",A0+,state,week_1,true,"daily,state"
38,وقت ندارم.,"I don’t have time.","Je n’ai pas le temps.",A0+,time,week_1,true,"daily,time"
39,الان نمی‌توانم.,"I can’t right now.","Je ne peux pas maintenant.",A0+,daily,week_1,true,"daily,time"
40,بعداً.,"Later.","Plus tard.",A0,time,day_1,true,"daily,time"
41,باید بروم.,"I have to go.","Je dois y aller.",A0+,daily,week_1,true,"daily,action"
42,باید کار کنم.,"I have to work.","Je dois travailler.",A0+,work,week_1,true,"daily,work"
43,باید درس بخوانم.,"I have to study.","Je dois étudier.",A0+,study,week_1,true,"university,study"
44,باید تمرین کنم.,"I have to practice.","Je dois pratiquer.",A0+,learning,week_1,true,"learning,practice"
45,باید بخوابم.,"I have to sleep.","Je dois dormir.",A0+,daily,week_1,true,"daily,state"
46,می‌خواهم بهتر حرف بزنم.,"I want to speak better.","Je veux mieux parler.",A0+,language,week_1,true,"language,speaking"
47,می‌خواهم فرانسوی حرف بزنم.,"I want to speak French.","Je veux parler français.",A0+,language,week_1,true,"language,speaking"
48,می‌خواهم تمرین کنم.,"I want to practice.","Je veux pratiquer.",A0,learning,day_1,true,"learning,practice"
49,نمی‌خواهم ول کنم.,"I don’t want to give up.","Je ne veux pas abandonner.",A1-,motivation,week_2,true,"motivation,learning"
50,ادامه می‌دهم.,"I continue.","Je continue.",A0+,motivation,week_1,true,"motivation,learning"
51,هر روز تمرین می‌کنم.,"I practice every day.","Je pratique tous les jours.",A1-,learning,week_2,true,"learning,practice"
52,امروز تمرین می‌کنم.,"I practice today.","Je pratique aujourd’hui.",A0+,learning,week_1,true,"learning,practice"
53,امروز درس می‌خوانم.,"I study today.","J’étudie aujourd’hui.",A0+,study,week_1,true,"university,study"
54,امروز کار می‌کنم.,"I work today.","Je travaille aujourd’hui.",A0+,work,week_1,true,"daily,work"
55,امروز باشگاه می‌روم.,"I’m going to the gym today.","Je vais à la salle aujourd’hui.",A1-,gym,week_2,true,"gym,daily"
56,دارم می‌روم باشگاه.,"I’m going to the gym.","Je vais à la salle.",A0+,gym,week_1,true,"gym,daily"
57,در باشگاه هستم.,"I am at the gym.","Je suis à la salle.",A0+,gym,week_1,true,"gym,daily"
58,در خانه هستم.,"I am at home.","Je suis à la maison.",A0,place,day_1,true,"daily,place"
59,در دانشگاه هستم.,"I am at the university.","Je suis à l’université.",A0+,university,week_1,true,"university,place"
60,در کلاس هستم.,"I am in class.","Je suis en cours.",A0+,university,week_1,true,"university,class"
61,کلاس دارم.,"I have class.","J’ai cours.",A0+,university,week_1,true,"university,class"
62,امروز کلاس دارم.,"I have class today.","J’ai cours aujourd’hui.",A0+,university,week_1,true,"university,class"
63,کلاس سخت است.,"The class is difficult.","Le cours est difficile.",A1-,university,week_2,true,"university,class"
64,این درس مهم است.,"This course is important.","Ce cours est important.",A1-,university,week_2,true,"university,class"
65,استاد سریع حرف می‌زند.,"The professor speaks fast.","Le professeur parle vite.",A1-,university,week_2,true,"university,class"
66,باید بهتر گوش بدهم.,"I have to listen better.","Je dois mieux écouter.",A1-,learning,week_2,true,"learning,listening"
67,باید تمرکز کنم.,"I have to focus.","Je dois me concentrer.",A1-,focus,week_2,true,"focus,study"
68,دارم یادداشت می‌نویسم.,"I am taking notes.","Je prends des notes.",A1-,university,week_2,true,"university,study"
69,دارم با لپ‌تاپ کار می‌کنم.,"I am working on my computer.","Je travaille sur mon ordinateur.",A1-,work,week_2,true,"tech,work"
70,دارم برنامه‌نویسی می‌کنم.,"I am programming.","Je programme.",A0+,tech,week_1,true,"tech,coding"
71,دارم روی پروژه‌ام کار می‌کنم.,"I am working on my project.","Je travaille sur mon projet.",A1-,tech,week_2,true,"tech,project"
72,پروژه‌ام مهم است.,"My project is important.","Mon projet est important.",A1-,tech,week_2,true,"tech,project"
73,این کد کار نمی‌کند.,"This code doesn’t work.","Ce code ne marche pas.",A1-,tech,week_2,true,"tech,coding"
74,باید تست کنم.,"I have to test.","Je dois tester.",A0+,tech,week_1,true,"tech,coding"
75,باید دوباره امتحان کنم.,"I have to try again.","Je dois réessayer.",A1-,tech,week_2,true,"tech,coding"
76,یک ایده دارم.,"I have an idea.","J’ai une idée.",A0+,thinking,week_1,true,"daily,thinking"
77,این ایده خوب است.,"This idea is good.","Cette idée est bonne.",A1-,thinking,week_2,true,"thinking,project"
78,به نظرم خوب است.,"I think it’s good.","Je pense que c’est bien.",A1,thinking,month_2,true,"thinking,opinion"
79,مطمئن نیستم.,"I’m not sure.","Je ne suis pas sûr.",A0+,thinking,week_1,true,"thinking,communication"
80,باید بررسی کنم.,"I have to check.","Je dois vérifier.",A1-,thinking,week_2,true,"thinking,work"
81,امروز حالم خوب است.,"I feel good today.","Je me sens bien aujourd’hui.",A1-,state,week_2,true,"daily,state"
82,امروز کمی خسته‌ام.,"I’m a little tired today.","Je suis un peu fatigué aujourd’hui.",A0+,state,week_1,true,"daily,state"
83,امروز خیلی کار دارم.,"I have a lot of work today.","J’ai beaucoup de travail aujourd’hui.",A1-,work,week_2,true,"daily,work"
84,امروز باید جدی باشم.,"I have to be serious today.","Je dois être sérieux aujourd’hui.",A1-,motivation,week_2,true,"motivation,work"
85,می‌خواهم منظم‌تر باشم.,"I want to be more disciplined.","Je veux être plus discipliné.",A1,motivation,month_2,true,"motivation,self"
86,حواسم پرت شده.,"I am distracted.","Je suis distrait.",A1-,focus,week_2,true,"focus,state"
87,باید برگردم به کار.,"I have to get back to work.","Je dois retourner au travail.",A1,work,month_2,true,"work,focus"
88,می‌خواهم چیزی بخورم.,"I want to eat something.","Je veux manger quelque chose.",A1-,food_drink,week_2,true,"daily,food"
89,می‌خواهم کمی استراحت کنم.,"I want to rest a little.","Je veux me reposer un peu.",A1-,daily,week_2,true,"daily,state"
90,بعداً برمی‌گردم.,"I’ll come back later.","Je reviens plus tard.",A1-,daily,week_2,true,"daily,time"
91,کجایی؟,"Where are you?","Tu es où ?",A0+,question,week_1,true,"daily,question"
92,کجا می‌روی؟,"Where are you going?","Tu vas où ?",A0+,question,week_1,true,"daily,question"
93,چی می‌خواهی؟,"What do you want?","Tu veux quoi ?",A0+,question,week_1,true,"daily,question"
94,می‌توانی کمکم کنی؟,"Can you help me?","Tu peux m’aider ?",A1-,question,week_2,true,"daily,communication"
95,این چنده؟,"How much does this cost?","Ça coûte combien ?",A0+,shopping,week_1,true,"daily,shopping"
96,چه ساعتی؟,"At what time?","À quelle heure ?",A0+,time,week_1,true,"daily,time"
97,فردا ادامه می‌دهم.,"I’ll continue tomorrow.","Je continue demain.",A0+,motivation,week_1,true,"motivation,learning"
98,من هنوز اول راهم.,"I am still at the beginning.","Je suis encore au début.",A1-,motivation,week_2,true,"motivation,learning"
99,ولی دارم جلو می‌روم.,"But I’m moving forward.","Mais j’avance.",A1-,motivation,week_2,true,"motivation,learning"
100,من می‌توانم فرانسوی یاد بگیرم.,"I can learn French.","Je peux apprendre le français.",A1,motivation,month_2,true,"motivation,learning"
